,local_description,full_name,isin,pricescale,date,open,high,low,close,volume
2153,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-23 07:00:00,26.9,27.0,26.78,26.99,5457500.0
2154,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-24 07:00:00,27.0,27.145,26.805,27.0,9078600.0
2155,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-25 07:00:00,27.04,27.1,26.64,27.055,8918700.0
2156,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-26 07:00:00,27.12,27.14,26.96,27.045,4106200.0
2157,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-27 07:00:00,27.075,28.15,27.025,28.115,25338100.0
2158,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-30 07:00:00,28.6,28.6,27.765,28.055,12122500.0
2159,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-01-31 07:00:00,28.1,28.285,27.9,28.14,5462300.0
2160,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-01 07:00:00,28.1,28.195,27.94,28.065,4496000.0
2161,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-02 07:00:00,28.02,28.525,27.97,28.245,8499600.0
2162,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-03 07:00:00,28.3,28.3,27.825,28.095,5962800.0
2163,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-06 07:00:00,28.2,28.27,27.92,28.045,10918600.0
2164,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2023-02-07 07:00:00,28.145,28.28,27.98,28.055,6680600.0
